grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, id_dfs, pancake16, "13 14 0 8 5 6 2 11 12 7 3 1 9 10 15 4", na, na, na, na
X, id_dfs, pancake16, "10 9 8 0 1 2 3 4 5 6 7 11 12 13 14 15", 2, 2234, 0.000167, 1.33772e+07
X, id_dfs, pancake16, "14 13 6 11 12 1 5 7 8 2 3 4 0 9 10 15", na, na, na, na
X, id_dfs, pancake16, "0 1 2 3 4 5 12 13 11 10 9 8 7 6 14 15", 4, 562086, 0.014695, 3.82502e+07
X, id_dfs, pancake16, "1 0 11 12 10 9 2 3 4 5 13 14 15 8 7 6", 7, 673902010, 17.5408, 3.8419e+07
X, id_dfs, pancake16, "4 5 11 12 13 14 3 2 6 7 8 9 10 0 1 15", 6, 48958965, 1.25543, 3.89978e+07
X, id_dfs, pancake16, "15 7 12 0 1 5 8 4 11 10 6 3 2 13 9 14", na, na, na, na
X, id_dfs, pancake16, "1 7 11 4 3 10 8 5 12 2 13 9 15 6 0 14", na, na, na, na
X, id_dfs, pancake16, "5 3 13 4 14 8 15 0 1 6 7 12 11 2 9 10", na, na, na, na
X, id_dfs, pancake16, "13 12 8 1 3 9 15 14 11 5 2 6 7 0 4 10", na, na, na, na
X, id_dfs, pancake16, "8 2 1 6 9 10 4 3 11 12 0 15 14 13 5 7", na, na, na, na
X, id_dfs, pancake16, "12 14 4 10 1 9 2 5 8 6 0 3 15 7 11 13", na, na, na, na
X, id_dfs, pancake16, "13 9 10 11 7 3 2 12 8 6 5 4 0 1 14 15", na, na, na, na
X, id_dfs, pancake16, "3 6 12 1 7 13 11 5 0 14 15 10 9 8 2 4", na, na, na, na
X, id_dfs, pancake16, "15 14 13 12 11 10 9 8 0 1 2 3 4 5 7 6", 3, 44857, 0.004603, 9.74517e+06
X, id_dfs, pancake16, "5 6 7 8 4 3 2 1 0 9 10 11 12 13 14 15", 2, 757, 4.9e-05, 1.5449e+07
X, id_dfs, pancake16, "1 2 3 13 14 12 4 0 5 6 7 8 9 10 11 15", 6, 51095893, 1.3523, 3.77845e+07
X, id_dfs, pancake16, "0 1 2 3 4 5 8 9 10 11 12 13 7 6 14 15", 4, 562930, 0.044913, 1.25338e+07
X, id_dfs, pancake16, "0 4 11 10 9 5 6 13 15 3 2 12 8 1 14 7", na, na, na, na
X, id_dfs, pancake16, "0 1 8 5 6 7 12 11 10 4 2 3 9 13 14 15", 8, 3080488141, 520.245, 5.92123e+06
X, id_dfs, pancake16, "10 11 9 8 7 6 0 5 1 2 3 4 12 13 14 15", 5, 1047022, 0.068174, 1.53581e+07
X, id_dfs, pancake16, "8 10 6 12 3 14 15 9 4 13 7 0 11 2 1 5", na, na, na, na
X, id_dfs, pancake16, "5 9 14 8 2 6 4 3 7 13 12 10 11 15 1 0", na, na, na, na
X, id_dfs, pancake16, "13 14 12 0 1 4 7 8 11 10 9 3 2 6 5 15", 8, 3256052312, 84.0399, 3.87441e+07
X, id_dfs, pancake16, "12 11 10 9 8 4 3 2 1 0 5 6 7 13 14 15", 3, 37228, 0.003856, 9.65456e+06
X, id_dfs, pancake16, "7 6 5 4 3 8 9 10 11 12 2 1 0 13 14 15", 3, 13904, 0.000397, 3.50227e+07
X, id_dfs, pancake16, "5 11 7 13 12 8 1 0 2 10 9 4 14 6 15 3", na, na, na, na
X, id_dfs, pancake16, "7 12 8 3 15 2 6 10 9 0 14 13 1 11 5 4", na, na, na, na
X, id_dfs, pancake16, "1 0 9 10 5 8 7 11 6 2 3 4 12 13 14 15", 7, 931086396, 24.0261, 3.87531e+07
X, id_dfs, pancake16, "11 0 14 10 5 2 13 8 12 3 6 7 15 1 9 4", na, na, na, na
X, id_dfs, pancake16, "1 2 0 13 6 11 14 15 8 9 5 3 4 10 12 7", na, na, na, na
X, id_dfs, pancake16, "3 1 6 4 7 0 2 12 15 10 14 13 5 11 9 8", na, na, na, na
X, id_dfs, pancake16, "13 12 2 15 11 1 9 5 3 4 14 10 0 7 6 8", na, na, na, na
X, id_dfs, pancake16, "4 2 1 8 5 0 9 13 6 14 3 11 10 15 12 7", na, na, na, na
X, id_dfs, pancake16, "9 7 6 5 10 11 12 13 14 4 15 8 1 0 3 2", na, na, na, na
X, id_dfs, pancake16, "2 1 11 10 9 6 7 8 12 13 5 0 3 4 14 15", 7, 1333454690, 34.2914, 3.8886e+07
X, id_dfs, pancake16, "9 4 5 6 15 7 8 3 11 12 0 10 2 1 13 14", na, na, na, na
X, id_dfs, pancake16, "11 3 15 14 12 13 2 5 10 7 4 1 8 9 6 0", na, na, na, na
X, id_dfs, pancake16, "15 13 12 11 10 9 8 14 0 1 2 3 4 5 6 7", 4, 650330, 0.050312, 1.29259e+07
X, id_dfs, pancake16, "12 11 10 9 8 7 6 0 1 2 3 4 5 13 14 15", 2, 2626, 9.8e-05, 2.67959e+07
X, id_dfs, pancake16, "11 8 5 4 7 0 2 1 14 10 12 15 6 13 3 9", na, na, na, na
X, id_dfs, pancake16, "7 6 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 1, 108, 9.8e-05, 1.10204e+06
X, id_dfs, pancake16, "6 2 7 8 9 10 11 5 4 0 1 3 12 13 14 15", 6, 14334510, 0.422636, 3.39169e+07
X, id_dfs, pancake16, "11 10 9 8 0 1 2 3 7 6 5 4 12 13 14 15", 3, 33459, 0.000888, 3.76791e+07
X, id_dfs, pancake16, "2 1 0 8 12 11 9 10 3 4 7 6 5 13 14 15", 6, 58079826, 1.49248, 3.8915e+07
X, id_dfs, pancake16, "13 12 11 10 0 1 2 3 4 5 6 7 8 9 14 15", 2, 2897, 0.000371, 7.80863e+06
X, id_dfs, pancake16, "12 13 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 2, 410, 3.5e-05, 1.17143e+07
X, id_dfs, pancake16, "2 3 4 5 6 7 8 9 10 11 1 0 12 13 14 15", 2, 2068, 0.000165, 1.25333e+07
X, id_dfs, pancake16, "5 6 11 12 0 1 10 9 8 7 13 14 15 4 3 2", 8, 1600980098, 151.846, 1.05435e+07
X, id_dfs, pancake16, "8 15 3 1 14 11 13 6 9 4 2 12 0 7 10 5", na, na, na, na
X, id_dfs, pancake16, "13 12 11 10 9 8 7 0 1 2 3 4 5 6 14 15", 2, 2852, 0.000386, 7.3886e+06
X, id_dfs, pancake16, "12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 13", 3, 44750, 0.001268, 3.52918e+07
X, id_dfs, pancake16, "7 3 4 5 6 8 9 10 11 12 13 14 2 1 0 15", 4, 179841, 0.010257, 1.75335e+07
X, id_dfs, pancake16, "7 8 9 10 11 12 6 5 4 3 2 1 0 13 14 15", 2, 1239, 6e-05, 2.065e+07
X, id_dfs, pancake16, "7 6 5 4 2 3 1 0 8 9 10 11 12 13 14 15", 4, 213931, 0.010353, 2.06637e+07
X, id_dfs, pancake16, "8 12 14 13 0 2 7 6 4 9 11 3 15 5 1 10", na, na, na, na
X, id_dfs, pancake16, "15 14 13 12 11 0 1 2 3 4 5 6 7 8 9 10", 2, 3334, 0.000466, 7.15451e+06
X, id_dfs, pancake16, "6 7 8 9 10 11 12 5 0 4 3 2 1 13 14 15", 4, 284596, 0.007552, 3.76849e+07
X, id_dfs, pancake16, "7 8 9 10 11 12 13 14 6 1 0 2 3 4 5 15", 4, 332269, 0.014485, 2.29388e+07
X, id_dfs, pancake16, "12 5 4 3 2 11 10 9 8 7 6 1 0 13 14 15", 4, 196697, 0.005858, 3.35775e+07
X, id_dfs, pancake16, "4 5 3 1 2 7 10 8 11 12 13 14 6 9 15 0", na, na, na, na
X, id_dfs, pancake16, "0 5 6 3 4 1 2 7 8 9 10 11 12 13 14 15", 5, 2581129, 0.130611, 1.9762e+07
X, id_dfs, pancake16, "8 7 6 2 1 0 3 4 5 14 9 13 12 11 10 15", 6, 81292527, 2.15335, 3.77516e+07
